id,price_doc
30474,5524000.0
30475,8586761.2
30476,6028000.0
30477,7139663.0
30478,5155920.4
30479,8915966.2
30480,4382930.7
30481,4412995.6
30482,5380000.0
30483,5717333.2
30484,6181894.9
30485,5293854.5
30486,4163194.3
30487,4837606.2
30488,8060569.2
30489,5672758.7
30490,22385323.4
30491,22280883.6
30492,5407810.0
30493,16799416.8
30494,7787365.7
30495,11901100.0
30496,7968029.6
30497,7536954.4
30498,5335000.0
30499,8208277.4
30500,12080975.7
30501,6085500.0
30502,3742815.9
30503,4925000.0
30504,6310000.0
30505,11256095.7
30506,3077384.3
30507,5142164.2
30508,5789690.9
30509,7540000.0
30510,9151787.6
30511,7737500.0
30512,6799121.5
30513,4556506.5
30514,3639001.7
30515,10366460.1
30516,5955390.0
30517,8835350.7
30518,6011994.0
30519,4855000.0
30520,8027201.0
30521,3605000.0
30522,8002303.5
30523,5598000.0
30524,5404682.2
30525,14010000.0
30526,5493220.3
30527,5112698.4
30528,6865000.0
30529,5865000.0
30530,5896225.9
30531,13850674.1
30532,4802302.8
30533,12530000.0
30534,7292481.0
30535,9363036.6
30536,5625144.0
30537,11485400.0
30538,4820724.4
30539,8953812.7
30540,9649022.5
30541,6066500.0
30542,2229720.4
30543,6485000.0
30544,4746500.0
30545,8835286.0
30546,4392935.6
30547,10835662.5
30548,4500971.8
30549,5894052.7
30550,9962097.0
30551,6007468.6
30552,2262023.2
30553,6927986.0
30554,10880000.0
30555,6451188.0
30556,9128963.0
30557,5725169.3
30558,8728809.8
30559,5570000.0
30560,7450000.0
30561,8280000.0
30562,14404167.7
30563,5025194.1
30564,7430000.0
30565,7158725.3
30566,7511317.2
30567,2254764.4
30568,10830000.0
30569,6811258.0
30570,5909500.0
30571,9171818.5
30572,5579977.0
30573,6415180.5
30574,6961170.0
30575,7794940.0
30576,6128468.0
30577,5140000.0
30578,3077858.5
30579,6489000.0
30580,6358000.0
30581,4115000.0
30582,12428000.0
30583,7415727.8
30584,4711000.0
30585,4269816.8
30586,9691425.4
30587,5214267.4
30588,6949339.8
30589,9132500.0
30590,11584837.0
30591,4620760.0
30592,8897007.8
30593,7815682.6
30594,5338039.2
30595,5287564.1
30596,6540713.0
30597,6478711.1
30598,9461077.5
30599,9154645.6
30600,5374309.2
30601,6585500.0
30602,1971485.2
30603,12801666.7
30604,5380000.0
30605,6304956.0
30606,18028763.0
30607,5295000.0
30608,9421993.6
30609,5745511.7
30610,3408998.5
30611,5805684.9
30612,7505000.0
30613,9939446.1
30614,19183872.2
30615,8640000.0
30616,5890107.8
30617,8040000.0
30618,5450000.0
30619,4356035.5
30620,2822791.5
30621,10968000.0
30622,9230000.0
30623,5280000.0
30624,7174573.2
30625,8359403.2
30626,6917000.0
30627,6975000.0
30628,6300009.0
30629,5806500.0
30630,4488524.7
30631,6591769.8
30632,4515571.5
30633,5293595.0
30634,13700000.0
30635,9660706.6
30636,5867000.0
30637,9625391.1
30638,6595000.0
30639,7977500.0
30640,4623437.2
30641,7635030.3
30642,6965000.0
30643,8130000.0
30644,9467898.6
30645,5472810.3
30646,5815000.0
30647,5131596.6
30648,22511044.9
30649,2705789.0
30650,5695000.0
30651,3080559.8
30652,4766012.3
30653,6853140.0
30654,5115602.0
30655,13693921.4
30656,3688075.0
30657,7935000.0
30658,11463543.2
30659,4980421.2
30660,9055000.0
30661,7235097.1
30662,8134250.4
30663,16399478.7
30664,13449999.9
30665,5745511.7
30666,3011213.7
30667,4170758.2
30668,10656094.7
30669,5625641.4
30670,2858562.2
30671,6055942.6
30672,14933123.2
30673,10762251.5
30674,11260000.0
30675,2197477.2
30676,7005500.0
30677,5200000.0
30678,21433996.3
30679,5025000.0
30680,5686804.5
30681,2449116.9
30682,9815000.0
30683,9958909.5
30684,3615000.0
30685,6735000.0
30686,9191117.8
30687,5289159.4
30688,4962591.5
30689,18750000.0
30690,23126950.9
30691,5044000.0
30692,6285500.0
30693,14222948.7
30694,5796651.9
30695,7850539.8
30696,6683986.0
30697,9936862.4
30698,3745000.0
30699,6012341.4
30700,5642179.7
30701,9450755.0
30702,7735000.0
30703,4209255.0
30704,13682815.2
30705,9962026.0
30706,24648286.8
30707,3669031.8
30708,17166850.0
30709,6123337.2
30710,8760904.0
30711,5248869.8
30712,4032915.6
30713,6380000.0
30714,6490000.0
30715,4206014.4
30716,9989912.6
30717,6720000.0
30718,12447000.0
30719,17098196.0
30720,5699000.0
30721,4098470.2
30722,7234273.9
30723,6761635.6
30724,12790519.2
30725,6800674.0
30726,11420730.3
30727,10298104.7
30728,10225959.3
30729,3551990.0
30730,4872000.0
30731,5891300.6
30732,5481858.9
30733,5548562.5
30734,6927310.6
30735,5715667.6
30736,4605583.5
30737,5302000.0
30738,6220973.2
30739,6280201.5
30740,7779273.9
30741,12128680.0
30742,4473712.9
30743,5363429.5
30744,9531112.6
30745,7025500.0
30746,5730497.6
30747,17687678.5
30748,15521183.9
30749,5981000.0
30750,7086348.9
30751,2865967.4
30752,7459710.0
30753,11319727.0
30754,3198000.0
30755,3668180.8
30756,6191259.8
30757,6175000.0
30758,10531228.9
30759,4999000.0
30760,3475808.6
30761,9750000.0
30762,7057617.1
30763,13749859.7
30764,6102466.7
30765,5145000.0
30766,4109305.4
30767,8406493.2
30768,5730000.0
30769,5270000.0
30770,5732967.7
30771,3579462.5
30772,8560000.0
30773,7907256.2
30774,5376528.9
30775,13259580.3
30776,4879000.0
30777,5778705.7
30778,10304300.0
30779,6930000.0
30780,7930000.0
30781,6355534.3
30782,6191987.3
30783,5179338.0
30784,4012525.6
30785,5490000.0
30786,4611156.9
30787,6729342.3
30788,5175369.4
30789,7465000.0
30790,8180000.0
30791,9455824.3
30792,6927310.6
30793,12434828.4
30794,13057150.0
30795,10031900.0
30796,12278516.5
30797,17047186.2
30798,3036924.4
30799,9798390.0
30800,15730000.0
